ExperimentId,Proportion of Relevant complaints missed,Accuracy,"Precision (Ar I, Der, Rel)","Recall (Ar I, Der, Rel)",Features,5 most important features,Algorithm
355,0.5596421471172962,0.4958904109589041,"(0.12299, 0.45777, 0.65243)","(0.1369, 0.67435, 0.44036)",['num_words'],"[(0.5193706357233117, 'PC1'), (0.4806293642766884, 'PC2')]",Random Forest
356,0.33697813121272363,0.5079452054794521,"(0.09434, 0.56931, 0.60471)","(0.17857, 0.3533, 0.66302)","['num_words', 'ComplaintType']","[(0.5072804372513559, 'PC1'), (0.49271956274864415, 'PC2')]",Random Forest
357,0.05964214711729623,0.549041095890411,"(0.05263, 0.62791, 0.55614)","(0.0119, 0.08295, 0.94036)","['num_words', 'ComplaintType', 'FacilityRegion', 'FacilityEconomicSubSector']","[(0.5471858512430872, 'PC2'), (0.4528141487569129, 'PC1')]",Random Forest
358,0.3648111332007952,0.5742465753424657,"(0.12605, 0.52533, 0.66841)","(0.08929, 0.60522, 0.63519)","['num_words', 'ComplaintType', 'FacilityRegion', 'FacilityEconomicSubSector', 'facility_mentioned', 'month']","[(0.5266264067103926, 'PC1'), (0.4733735932896073, 'PC2')]",Random Forest
359,0.12027833001988072,0.6169863013698629,"(0.09524, 0.62565, 0.62236)","(0.0119, 0.36713, 0.87972)","['num_words', 'ComplaintType', 'FacilityRegion', 'FacilityEconomicSubSector', 'facility_mentioned', 'month', 'proportion_urban', 'proportion_protected']","[(0.5764965514110156, 'PC1'), (0.4235034485889843, 'PC2')]",Random Forest
360,0.17594433399602386,0.4838356164383562,"(0.08451, 0.2243, 0.53831)","(0.03571, 0.07373, 0.82406)","['num_words', 'ComplaintType', 'FacilityRegion', 'FacilityEconomicSubSector', 'facility_mentioned', 'month', 'proportion_urban', 'proportion_protected', 'num_past_sanctions']","[(0.5194804461208197, 'PC1'), (0.48051955387918044, 'PC2')]",Random Forest
361,0.13518886679920478,0.52,"(0.12766, 0.38624, 0.54751)","(0.03571, 0.11214, 0.86481)","['num_words', 'ComplaintType', 'FacilityRegion', 'FacilityEconomicSubSector', 'facility_mentioned', 'month', 'proportion_urban', 'proportion_protected', 'Effect_on_Environment', 'Health_Impact', 'Affected_population']","[(0.516240251121972, 'PC2'), (0.48375974887802803, 'PC1')]",Random Forest
362,0.17992047713717693,0.6098630136986302,"(0.11667, 0.603, 0.6351)","(0.04167, 0.43164, 0.82008)","['num_words', 'ComplaintType', 'FacilityRegion', 'FacilityEconomicSubSector', 'facility_mentioned', 'month', 'proportion_urban', 'proportion_protected', 'EnvironmentalTopic']","[(0.5877810361967436, 'PC1'), (0.41221896380325646, 'PC2')]",Random Forest
363,0.1709741550695825,0.6115068493150685,"(0.20253, 0.61432, 0.63519)","(0.09524, 0.4086, 0.82903)","['num_words', 'ComplaintType', 'FacilityRegion', 'FacilityEconomicSubSector', 'facility_mentioned', 'month', 'proportion_urban', 'proportion_protected', 'EnvironmentalTopic', 'Affected_population']","[(0.584997758394335, 'PC1'), (0.41500224160566507, 'PC2')]",Random Forest
364,0.17892644135188868,0.6142465753424657,"(0.1375, 0.59664, 0.65091)","(0.06548, 0.43625, 0.82107)","['num_words', 'ComplaintType', 'FacilityRegion', 'FacilityEconomicSubSector', 'proportion_urban', 'proportion_protected', 'EnvironmentalTopic', 'month', 'Affected_population']","[(0.5882130795243529, 'PC1'), (0.4117869204756471, 'PC2')]",Random Forest
365,0.25646123260437376,0.6164383561643836,"(0.10714, 0.6043, 0.67448)","(0.07143, 0.56068, 0.74354)","['num_words', 'ComplaintType', 'FacilityRegion', 'FacilityEconomicSubSector', 'proportion_protected', 'EnvironmentalTopic', 'month', 'Affected_population']","[(0.5694058654830452, 'PC2'), (0.4305941345169549, 'PC1')]",Random Forest
366,0.0437375745526839,0.6575342465753424,"(0.0, 0.80135, 0.63289)","(0.0, 0.36559, 0.95626)","['num_words', 'ComplaintType', 'FacilityRegion', 'FacilityEconomicSubSector', 'proportion_protected', 'EnvironmentalTopic', 'month', 'Affected_population']","[(0.16616170083286308, 'PC4'), (0.16317829463771302, 'PC2'), (0.16308181574887276, 'PC8'), (0.12909803835112432, 'PC5'), (0.09962354751934595, 'PC7')]",Random Forest
367,0.14612326043737575,0.650958904109589,"(0.0, 0.66064, 0.65076)","(0.0, 0.50538, 0.85388)","['num_words', 'ComplaintType', 'FacilityRegion', 'FacilityEconomicSubSector', 'EnvironmentalTopic', 'month']","[(0.1840322600083663, 'PC3'), (0.16811036699151186, 'PC6'), (0.13226863361835264, 'PC4'), (0.12070457558652697, 'PC8'), (0.119018938564384, 'PC7')]",Random Forest
368,0.30318091451292245,0.4827397260273973,"(0.07987, 0.79487, 0.53227)","(0.14881, 0.2381, 0.69682)","['num_words', 'FacilityRegion']","[(0.15017666967758303, 'PC8'), (0.14340150071399407, 'PC6'), (0.13902931238691235, 'PC7'), (0.13578944237397506, 'PC2'), (0.1213139374287731, 'PC5')]",Random Forest
