ExperimentId,Proportion of Relevant complaints missed,Accuracy,"Precision (Ar I, Der, Rel)","Recall (Ar I, Der, Rel)",Features,5 most important features
69,0.3574660633484163,0.7579908675799086,"(0.80169, 0.67206, 0.82081)","(0.88372, 0.75113, 0.64253)","['num_words', 'LDA', 'EnvironmentalTopic', 'FacilityEconomicSector', 'sanctions_inspections_ratio', 'month']","[(0.0709888902244372, 'num_words'), (0.06863744331475281, 7.0), (0.06389729687941918, 3.0), (0.06373566555252008, 8.0), (0.06337680246642853, 2.0)]"
70,0.1545454545454545,0.86112493777999,"(0.82278, 0.87879, 0.8928)","(0.95168, 0.78378, 0.84545)","['ComplaintType', 'num_words', 'EnvironmentalTopic', 'facility_num_sanctions', 'FacilityRegion', 'FacilityEconomicSubSector', 'facility_num_inspections', 'month']","[(0.2736644623656682, 'num_words'), (0.1328347257967503, 'facility_num_sanctions'), (0.11537067470758834, 'month'), (0.11268122850856122, 'facility_num_inspections'), (0.07591284594112604, 'Ruidos')]"
71,0.1969696969696969,0.8496764559482329,"(0.82286, 0.85855, 0.87603)","(0.959, 0.78378, 0.80303)","['ComplaintType', 'num_words', 'EnvironmentalTopic', 'FacilityRegion', 'FacilityEconomicSubSector', 'sanctions_inspections_ratio', 'month']","[(0.29423533105387434, 'num_words'), (0.13041673495395834, 'month'), (0.07643835225042006, 'Ruidos'), (0.05214385300814795, 'FacilityRegion_Región Metropolitana'), (0.017837679895557877, 'Olores')]"
72,0.1348484848484848,0.8815331010452961,"(0.84942, 0.9015, 0.90205)","(0.96633, 0.81081, 0.86515)","['ComplaintType', 'num_words', 'EnvironmentalTopic', 'facility_num_sanctions', 'FacilityRegion', 'FacilityEconomicSubSector', 'facility_num_inspections', 'month', 'populated_districts']","[(0.27561466649428656, 'num_words'), (0.1210794936149721, 'facility_num_sanctions'), (0.11570721974768178, 'month'), (0.11113511779940762, 'facility_num_inspections'), (0.07090833750292919, 'Ruidos')]"
73,0.1378787878787878,0.8536585365853658,"(0.83399, 0.88194, 0.8518)","(0.93411, 0.76276, 0.86212)","['ComplaintType', 'num_words', 'EnvironmentalTopic', 'FacilityRegion', 'FacilityEconomicSubSector', 'sanction_inspection_ratio', 'month']","[(0.28583637762794645, 'num_words'), (0.12558510567559428, 'facility_num_sanctions'), (0.11413117708866882, 'month'), (0.10975810758138861, 'facility_num_inspections'), (0.06302474981853741, 'Ruidos')]"
74,0.1469696969696969,0.8666002986560478,"(0.82896, 0.88774, 0.89507)","(0.97218, 0.77177, 0.85303)","['ComplaintType', 'num_words', 'EnvironmentalTopic', 'facilities_num_sanctions', 'facilities_num_inspections', 'FacilityRegion', 'FacilityEconomicSubSector', 'sanction_inspection_ratio', 'month']","[(0.2726431473197602, 'num_words'), (0.12137793280105028, 'facility_num_sanctions'), (0.11486870602091641, 'month'), (0.11247017766851496, 'facility_num_inspections'), (0.06360290205801579, 'Ruidos')]"
75,0.6257575757575757,0.4952712792434047,"(0.51116, 0.51971, 0.44505)","(0.67057, 0.43544, 0.37424)","['ComplaintType', 'num_words']","[(0.9368206887765266, 'num_words'), (0.027421468841770012, 'ComplaintType_Sectorial'), (0.014996583946273333, 'ComplaintType_Ciudadana'), (0.010296125484339646, 'ComplaintType_Municipal'), (0.006220717090256609, 'ComplaintType_Autoridad')]"
76,0.2863636363636364,0.649079143852663,"(0.54126, 0.66263, 0.81067)","(0.73939, 0.49249, 0.71364)","['FacilityRegion', 'num_words']","[(0.5280142109129145, 'num_words'), (0.11353880992064436, 'FacilityRegion_Región Metropolitana'), (0.03742628141175669, 'FacilityRegion_Región de Coquimbo'), (0.03352154225532399, 'FacilityRegion_Región de los Lagos'), (0.03239358814991421, 'FacilityRegion_Región de Valparaíso')]"
77,0.1863636363636363,0.7685415629666501,"(0.72243, 0.76259, 0.83127)","(0.85359, 0.63664, 0.81364)","['FacilityRegion', 'FacilityEconomicSector', 'num_words', 'month']","[(0.44130568744946436, 'num_words'), (0.15716895123882607, 'month'), (0.058712539987075464, 'FacilityEconomicSector_Equipamiento'), (0.050169042367203945, 'FacilityRegion_Región Metropolitana'), (0.0253361299276501, 'FacilityEconomicSector_Minería')]"
78,0.2590909090909091,0.6993529118964659,"(0.61663, 0.6609, 0.86549)","(0.78184, 0.57357, 0.74091)","['FacilityRegion', 'FacilityEconomicSector', 'num_words']","[(0.4541793070932223, 'num_words'), (0.08130250810037318, 'FacilityEconomicSector_Equipamiento'), (0.06735423973082347, 'FacilityRegion_Región Metropolitana'), (0.030611472849856543, 'FacilityEconomicSector_Minería'), (0.024202459825673886, 'FacilityRegion_Región de los Lagos')]"
